989399370;Insert Data Faktur Penjualan dgn Pemebeli PEPABRI RUTENG;23/01/2013 14:32:45; di Nopend 86300;
989399370;Insert Data Faktur Penjualan dgn Pemebeli BPR LUKAS GANDA;23/01/2013 14:33:59; di Nopend 86300;
;Insert data;23/01/2013 14:35:42; ();
979383766;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI DANA KARYA;23/01/2013 14:38:28; di Nopend 42300;
979383766;Insert Data Faktur Penjualan dgn Pemebeli BANK BTPN KCP RANGKASBITUNG;23/01/2013 14:40:39; di Nopend 42300;
970336135;Insert Data Faktur Penjualan dgn Pemebeli PT TELEKOMUNIKASI INDONESIA, TBK;23/01/2013 14:41:04; di Nopend 80000;
979383766;Ubah Data Faktur Penjualan 010.000-13.00000423;23/01/2013 14:42:43; di Nopend 42300 dengan id (30688);
972331920;Terkait PendapatanKSP Arta Mitra Surya;23/01/2013 14:43:24; di Nopend 64100;
972331920;Terkait PendapatanKSP SEJAHTERA NGANJUK;23/01/2013 14:45:49; di Nopend 64100;
972331920;Pembatalan Bukti Potong 01/SEJAHTERA/2013;23/01/2013 14:46:42; id : (52);
972331920;Terkait PendapatanKSP SEJAHTERA NGANJUK;23/01/2013 14:48:21; di Nopend 64100;
972331920;Terkait PendapatanPRIMER KOPERASI PURNAWIRAWAN ABRI;23/01/2013 14:50:50; di Nopend 64100;
979383766;Insert Data Faktur Penjualan dgn Pemebeli PT BHAKTI KHARISMA UTAMA;23/01/2013 14:52:25; di Nopend 42300;
972331920;Terkait PendapatanKSP KARYA BHAKTI;23/01/2013 14:53:27; di Nopend 64100;
970336135;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK MANDIRI (Persero), Tbk.;23/01/2013 14:53:30; di Nopend 80000;
972331920;Terkait PendapatanKOPERASI NUSANTARA;23/01/2013 14:55:39; di Nopend 64100;
972322693;Terkait PendapatanPT. BTPN CAB BATURAJA;23/01/2013 14:56:51; di Nopend 32100;
972331920;Terkait PendapatanSIMPAN PINJAM KSU N A S A R I;23/01/2013 14:57:29; di Nopend 64100;
970336135;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK MANDIRI (Persero), Tbk.;23/01/2013 14:58:10; di Nopend 80000;
970321958;Terkait PendapatanKOPERASI NUSANTARA;23/01/2013 14:58:31; di Nopend 68300;
970336135;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK MANDIRI (Persero), Tbk.;23/01/2013 15:01:07; di Nopend 80000;
970321958;Terkait PendapatanKOPERASI NASARI;23/01/2013 15:01:48; di Nopend 68300;
972331920;Terkait PendapatanPT BANK TABUNGAN PENSIUNAN NASIONAL TBK;23/01/2013 15:04:03; di Nopend 64100;
979383766;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Simpan Pinjam Mekarsari;23/01/2013 15:04:24; di Nopend 42300;
970336135;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK MANDIRI (Persero), Tbk.;23/01/2013 15:04:30; di Nopend 80000;
967343367;Insert Data Faktur Penjualan dgn Pemebeli PT BHAKTI KHARISMA UTAMA;23/01/2013 15:04:47; di Nopend 57500;
972331920;Terkait PendapatanKSU RAPPODI;23/01/2013 15:06:17; di Nopend 64100;
